area_id,area_name,city,area_type,locality_type,pincode,retail_shops,restaurants,banks_atms,medical_facilities,educational_centers,parking_lots,vacant_shops,pedestrian_count_15min,vehicle_count_15min,footfall_intensity,road_condition,street_lighting,cleanliness,avg_daily_customers,avg_transaction_value,monthly_rent,business_growth,property_price_sqft,residential_rent_1bhk,property_trend,google_rating,google_reviews_count,zomato_restaurants,population_estimate,last_survey_date,competition_level,parking_availability,main_issue,news_mentions_6months
AREA_001,Sector 17 Market,Patiala,Urban,Commercial,143684,43,27,10,5,4,3,3,275,149,High,5,5,4,130,1324,31848,Growing,6245,19108,Falling,4.5,670,27,37039,2025-01-05,High,Easy,Poor infrastructure,13
AREA_002,Sector 22,Chandigarh,Semi-Urban,Mixed,141220,25,13,7,5,1,0,4,116,51,Medium,3,3,3,76,763,16898,Growing,4807,10138,Falling,4.1,1453,13,33023,2025-01-23,Low,Easy,High rent,9
AREA_003,Sector 35,Patiala,Urban,Commercial,,,,,4,3,,NA,,177,,6,5,,,,,,,,Falling,,,,,,Low,,,
AREA_004,Sector 43,Patiala,Urban,Commercial,148023,51,21,12,8,6,4,6,278,104,High,4,4,4,181,1175,40822,Growing,7361,24493,Rising,4.3,2483,21,30350,2025-01-17,High,Moderate,High rent,16
AREA_005,Sector 8,Zirakpur,Urban,Mixed,148450,28,17,10,7,5,3,1,144,67,Medium,5,4,4,78,1388,33258,Growing,6404,19954,Falling,3.4,1897,17,46404,2025-01-07,High,Moderate,High rent,8
AREA_006,Sector 15,Chandigarh,Semi-Urban,Commercial,142246,31,15,4,3,4,0,5,83,57,Medium,4,4,3,55,664,21822,Stable,3576,13093,Rising,3.3,2093,15,18357,2025-01-06,Low,Easy,High rent,13
AREA_007,Sector 26,Ludhiana,Semi-Urban,Mixed,144807,24,14,3,2,2,3,1,66,31,Medium,4,4,3,36,559,13210,Stable,4223,7926,Rising,3.9,287,14,25239,2025-01-17,Low,Difficult,parking shortage,9
AREA_008,Sector 9,Shimla,Semi-Urban,Commercial,140362,21,14,6,4,4,1,2,62,26,Medium,3,3,2,19,813,15331,Declining,4174,9198,Stable,3.6,1906,14,23865,2025-01-01,Low,Easy,High rent,3
AREA_009,Sector 11,Karnal,Rural,Mixed,,,,,1,2,,NA,,21,,6,3,,,,,,,,Rising,,,,,,Low,,,
AREA_010,Sector 19,Zirakpur,Urban,Commercial,147942,48,34,10,7,7,5,5,234,159,High,5,4,4,124,738,46525,Declining,6658,27915,Stable,4.4,1625,34,44616,2025-01-03,Medium,Difficult,High rent,10
AREA_011,Sector 20,Patiala,Urban,Commercial,141480,64,28,10,9,6,3,4,266,87,High,5,4,4,148,885,34819,Growing,6088,20891,Rising,3.9,579,28,45653,2025-01-17,Low,Moderate,parking shortage,11
